family,tumor_type,endpoint,n,mean_pool_q2,median_pool_q2,delta_median_minus_mean,seed
rna_pathway_activity,STAD,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,354,0.259237215685312,0.259237215685312,1.11022302462516e-16,20263319
rna_pathway_activity,KIRC,HALLMARK_APICAL_JUNCTION,510,0.259162766240009,0.259148852642834,-1.39135971747306e-05,20261820
rna_pathway_activity,GBM,HALLMARK_KRAS_SIGNALING_UP,96,0.258770938671141,0.261916923064783,0.00314598439364233,20261529
rna_pathway_activity,STAD,HALLMARK_DNA_REPAIR,354,0.258036166270448,0.258036166270448,3.33066907387547e-16,20263317
rna_pathway_activity,THCA,HALLMARK_G2M_CHECKPOINT,503,0.257846253395276,0.25790660683755,6.03534422738417e-05,20263537
rna_pathway_activity,LGG,HALLMARK_MYC_TARGETS_V2,490,0.257675678384134,0.255831642804997,-0.00184403557913665,20262059
rna_pathway_activity,KIRP,HALLMARK_INTERFERON_GAMMA_RESPONSE,272,0.257527670827143,0.256142569308014,-0.00138510151912952,20261949
rna_pathway_activity,LGG,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,490,0.257457666790393,0.234393041075554,-0.0230646257148385,20262077
rna_pathway_activity,LUSC,HALLMARK_IL6_JAK_STAT3_SIGNALING,475,0.25706226975803,0.256810152181324,-0.000252117576706123,20262373
rna_pathway_activity,THYM,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,117,0.25686286298035,0.253212715727473,-0.00365014725287749,20263665
rna_pathway_activity,TGCT,HALLMARK_SPERMATOGENESIS,149,0.256111324917928,0.260799370941662,0.00468804602373418,20263455
rna_pathway_activity,LIHC,HALLMARK_MTORC1_SIGNALING,358,0.256067164547509,0.256067164547509,2.22044604925031e-16,20262164
rna_pathway_activity,BLCA,HALLMARK_UV_RESPONSE_UP,382,0.256050717559255,0.256223688767495,0.000172971208240225,20261014
rna_pathway_activity,KIRC,HALLMARK_COAGULATION,510,0.255388509365455,0.255377494730661,-1.10146347942486e-05,20261825
rna_pathway_activity,PCPG,HALLMARK_IL6_JAK_STAT3_SIGNALING,176,0.254208316367796,0.254208316367796,3.88578058618805e-16,20262792
